Role,Company,City,Grouped City,State,Month posted,No. of days ago,Level,Job type,Job function,Industry
Data Transformation Analyst I,IHS Markit,Hyderabad,Hyderabad,Telangana,November,1,Entry level,Full-time,Research,"IT Services and IT Consulting, Computer Software, and Financial Services"
Principal Data Analyst,Red Hat,Bengaluru,Bengaluru,Karnataka,November,21,Not Applicable,Full-time,Information Technology,IT Services and IT Consulting and Computer Software
Executive- Data Analyst,Michael Page,Bengaluru,Bengaluru,Karnataka,November,2,Associate,Full-time,Information Technology,Manufacturing
Data Analyst,Full Potential Solutions,Not mentioned,Not mentioned,Punjab,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
"Data Analyst, ITC Atfarm",Yara International,Bengaluru,Bengaluru,Karnataka,October,31,Not Applicable,Full-time,Other,"Chemicals, Environmental Services, and Farming"
Data Analyst - SQL,HuntingCube Recruitment Solutions,Bengaluru,Bengaluru,Karnataka,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Computer Software"
Data Quality Analyst,Turbolab Technologies,Ernakulam,Ernakulam,Kerala,November,14,Entry level,Full-time,Engineering,Computer Software
Senior Data Analyst,Boston Consulting Group (BCG),Delhi,Delhi,Delhi,October,31,Mid-Senior level,Full-time,Information Technology,"Marketing and Advertising, Staffing and Recruiting, and Management Consulting"
Data Analyst,Ipseity Group,Bhopal,Bhopal,Madhya Pradesh,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Marketing and Advertising, and Computer Software"
Mojocare - Data Analyst - Python/SAS/R,Mojocare,Bengaluru,Bengaluru,Karnataka,September,62,Entry level,Full-time,Information Technology,Wellness and Fitness Services
Data Standardization Analyst,LSEG (London Stock Exchange Group),Bengaluru,Bengaluru,Karnataka,November,14,Associate,Full-time,Information Technology,IT Services and IT Consulting and Financial Services
"Data Engineering Analyst - Bangalore, KA",Optum,Bengaluru,Bengaluru,Karnataka,November,14,Entry level,Full-time,Engineering and Information Technology,"IT Services and IT Consulting, Computer Software, and Hospitals and Health Care"
Data Governance Analyst (Advanced Excel),Wipro Digital Operations and Platforms,Gurugram,Gurugram,Haryana,November,7,Mid-Senior level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Market Data Research Analyst,MergerWare ,Bengaluru,Bengaluru,Karnataka,November,28,Associate,Full-time,"Research, Analyst, and Information Technology",Computer Software
Real Time Data Services - Sales Analyst,Real Time Data Services,Gurugram,Gurugram,Haryana,November,28,Associate,Full-time,Sales and Business Development,IT Services and IT Consulting
Operations Specialist -Data Analyst,PubMatic,Pune,Pune,Maharashtra,November,4,Entry level,Full-time,Information Technology,"Marketing and Advertising, Computer Software, and Internet Publishing"
Data Transformation Analyst 1,IHS Markit,Hyderabad,Hyderabad,Telangana,November,14,Entry level,Full-time,Research,"IT Services and IT Consulting, Computer Software, and Financial Services"
"Manufacturing Data Analyst, Technical Infrastructure, Google Cloud",Google,Bengaluru,Bengaluru,Karnataka,November,14,Not Applicable,Full-time,Information Technology,Information Services and Internet Publishing
Senior Data Analyst,Mr. Cooper,Bengaluru,Bengaluru,Karnataka,November,28,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Analyst - Tableau/Artificial Intelligence,Emojent,Hyderabad,Hyderabad,Telangana,November,28,Entry level,Full-time,Information Technology,Computer Software
Data Analyst - Tableau/Artificial Intelligence,Emojent,Bengaluru,Bengaluru,Karnataka,November,28,Entry level,Full-time,Information Technology,Computer Software
Talent Acquisition Data Analyst,Zycus,Mumbai,Mumbai,Maharashtra,October,31,Associate,Full-time,Other and Information Technology,IT Services and IT Consulting and Computer Software
Sr.Associate Data Analyst,ACZ Global Pvt Ltd,Gurgaon,Gurgaon,Haryana,November,2,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
QA Data Integrity Analyst,Zscaler,Bangalore Urban,Bengaluru,Karnataka,November,14,Associate,Full-time,"Sales, Consulting, and Analyst","IT Services and IT Consulting, Computer Software, and Computer and Network Security"
Senior Data Analyst,Yellow Class,Gurugram,Gurugram,Haryana,November,6,Mid-Senior level,Full-time,Information Technology,Internet Publishing
AVP - Data Analyst - digital,DBS Bank,Mumbai,Mumbai,Maharashtra,May,186,Associate,Full-time,Other,"IT Services and IT Consulting, Banking, and Financial Services"
Nation With NaMo - Data Analyst,Nation with NaMo,Gurugram,Gurugram,Haryana,October,31,Entry level,Full-time,Information Technology,Writing and Editing
Analyst_Data Wrangler,Societe Generale Global Solution Centre,Bengaluru,Bengaluru,Karnataka,November,6,Not Applicable,Full-time,Information Technology,"Non-profit Organizations, Staffing and Recruiting, and Banking"
True Balance - Data Analyst - SQL,Balancehero India,Gurgaon,Gurgaon,Haryana,October,31,Entry level,Full-time,Information Technology,Financial Services
Data Transformation Analyst I-2,IHS Markit,Hyderabad,Hyderabad,Telangana,November,21,Entry level,Full-time,Research,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Transformation Analyst I,IHS Markit,Hyderabad,Hyderabad,Telangana,November,21,Entry level,Full-time,Research,"IT Services and IT Consulting, Computer Software, and Financial Services"
E2E Data Analyst - SQE,Philips,Pune,Pune,Maharashtra,October,31,Not Applicable,Full-time,Information Technology,Hospitals and Health Care
Data Analyst,Saama,Pune,Pune,Maharashtra,September,62,Not Applicable,Full-time,Engineering,IT Services and IT Consulting
Marketing Data Analyst,Ferratum Global,Gurgaon,Gurgaon,Haryana,November,7,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Senior Data Analyst I,ICE,Hyderabad,Hyderabad,Telangana,November,21,Not Applicable,Full-time,"General Business, Information Technology, and Engineering",Financial Services
Data Analyst,MIRROR CONSULTANCY SERVICES,Hyderabad,Hyderabad,Telangana,September,62,Entry level,Full-time,Information Technology,"Marketing and Advertising, Staffing and Recruiting, and Financial Services"
Analyst,ANZ,Bengaluru,Bengaluru,Karnataka,November,7,Not Applicable,Full-time,Business Development and Sales,"Banking, Financial Services, and Accounting"
Data Analyst,iKomet Technology Solutions Pvt Ltd,Chennai,Chennai,Tamil Nadu,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Analyst (Event Watch - Global News),Resilinc,Pune,Pune,Maharashtra,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Sr. Data Analyst,Zeno Health (Formerly Generico),Mumbai,Mumbai,Maharashtra,November,7,Mid-Senior level,Full-time,Analyst,"IT Services and IT Consulting, Internet Publishing, and Retail"
Data Engineer,Rolls-Royce,Bangalore Urban,Bengaluru,Karnataka,November,2,Mid-Senior level,Full-time,Information Technology,"IT Services and IT Consulting, Machinery Manufacturing, and Staffing and Recruiting"
Data Engineer,Dynapt.ai,Bengaluru,Bengaluru,Karnataka,Not mentioned,0,Full-time,Not mentioned,Not mentioned,Not mentioned
Work India - Senior Data Analyst,WorkIndia,Bengaluru,Bengaluru,Karnataka,October,31,Associate,Full-time,Information Technology,IT Services and IT Consulting
Sr Data Analyst,"Ameriprise Financial Services, LLC",Gurugram,Gurugram,Haryana,October,31,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Quality Analyst,Velodyne Lidar India,Bengaluru,Bengaluru,Karnataka,November,14,Mid-Senior level,Full-time,Engineering,"Appliances, Electrical, and Electronics Manufacturing, Motor Vehicle Manufacturing, and Semiconductor Manufacturing"
Business Intelligence Data Analyst,PayPal,Chennai,Chennai,Tamil Nadu,November,4,Not Applicable,Full-time,"Research, Analyst, and Information Technology","Computer Software, Internet Publishing, and Financial Services"
Data Quality Analyst,Techwave,Hyderabad,Hyderabad,Telangana,November,21,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Analyst SQL and Capital IQ + (AWS Python),Wipro,Gurugram,Gurugram,Haryana,November,14,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
PDE Data Analyst,Micron Technology,Hyderabad,Hyderabad,Telangana,November,14,Not Applicable,Full-time,Other,"Appliances, Electrical, and Electronics Manufacturing, Computer Hardware Manufacturing, and Semiconductor Manufacturing"
"Data Analyst (Python, ELG developer)_Digibank",DBS Bank,Hyderabad,Hyderabad,Telangana,November,7,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Banking, and Financial Services"
Senior Data Analyst,Optum,Chennai,Chennai,Tamil Nadu,October,31,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Hospitals and Health Care"
Data Analyst,Golden Opportunities,Delhi,Delhi,Delhi,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data analyst (Quality Engineer),Coupa Software,Pune,Pune,Maharashtra,November,14,Associate,Full-time,Information Technology,Computer Software
Data Analyst- Product,BOLD,Noida,Noida,Uttar Pradesh,September,62,Associate,Full-time,"Research, Analyst, and Information Technology","IT Services and IT Consulting, Computer Software, and Internet Publishing"
"Data Analyst, Project JEET","Clinton Health Access Initiative, Inc.",Delhi,Delhi,Delhi,September,62,Entry level,Full-time,Information Technology,"Non-profit Organizations, Financial Services, and Hospitals and Health Care"
Lead Data Analyst,HARMAN International,Bengaluru,Bengaluru,Karnataka,Not mentioned,0,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Motor Vehicle Manufacturing"
Product Data Analyst,Trifacta,Bengaluru,Bengaluru,Karnataka,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Analyst,Rose International,Dindigul,Dindigul,Tamil Nadu,November,21,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Financial Services, and Hospitals and Health Care"
Data Analyst,Adroit Learning And Manpower Pvt. Ltd.,Ahmedabad,Ahmedabad,Gujarat,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Analyst/Performance Management Specialist,Societe Generale Global Solution Centre,Bengaluru,Bengaluru,Karnataka,November,21,Not Applicable,Full-time,Information Technology,"Non-profit Organizations, Staffing and Recruiting, and Banking"
Senior Data Analyst,Boston Consulting Group (BCG),Delhi,Delhi,Delhi,November,28,Mid-Senior level,Full-time,Information Technology,"Marketing and Advertising, Staffing and Recruiting, and Management Consulting"
Data remediation,Pidgin Consulting,Bangalore Urban,Bengaluru,Karnataka,November,3,Full-time,Not mentioned,Not mentioned,Not mentioned
Data/QC Analyst,CloudxLab,Bengaluru,Bengaluru,Karnataka,November,21,Entry level,Full-time,Quality Assurance,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Nanda Group - Data Analyst,Nandu's,Bengaluru,Bengaluru,Karnataka,September,62,Entry level,Full-time,Information Technology,Computer Networking Products
Data Analyst,Aayu (by MedCords),Kota,Kota,Chhattisgarh,September,62,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Supply Chain & Data Science Analyst,HP,Chennai,Chennai,Tamil Nadu,November,3,Not Applicable,Full-time,Management and Manufacturing,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Computer Software"
Business/Data Systems Analyst 3,PayPal,Bengaluru,Bengaluru,Karnataka,November,4,Not Applicable,Full-time,Information Technology,"Computer Software, Internet Publishing, and Financial Services"
Data Analyst,vConstruct Private Limited,Pune,Pune,Maharashtra,September,62,Associate,Full-time,Other,IT Services and IT Consulting
Sr. Data Analyst,NEWJ,Mumbai,Mumbai,Maharashtra,November,21,Mid-Senior level,Full-time,Information Technology and Analyst,Marketing and Advertising and Online Media
Reporting & Analytics - Analyst,Deloitte,Hyderabad,Hyderabad,Telangana,November,5,Entry level,Full-time,Business Development and Sales,"Financial Services, Management Consulting, and Accounting"
Data Analyst - Lead,Persistent Systems,Pune,Pune,Maharashtra,November,7,Associate,Full-time,Information Technology,IT Services and IT Consulting
Senior Data Analyst,UST,Bengaluru,Bengaluru,Karnataka,November,6,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Calderys - Data Analyst,Imerys,Nagpur,Nagpur,Maharashtra,October,31,Entry level,Full-time,Information Technology,Mining
Data Analyst,Altimetrik,Chennai,Chennai,Tamil Nadu,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
