Role,Company,City,Grouped City,State,Month posted,No. of days ago,Level,Job type,Job function,Industry
"Data Analyst (Python, SQL, Excel)",Flipkart,Bengaluru,Bengaluru,Karnataka,November,28,Not Applicable,Full-time,Information Technology,Internet Publishing and Manufacturing
Data Analyst,Myntra,Bengaluru,Bengaluru,Karnataka,Not mentioned,0,Entry level,Full-time,Information Technology,"Marketing and Advertising, Computer Software, and Internet Publishing"
Jr. Data Analyst (Freshers are welcome to apply),ISS | Institutional Shareholder Services,Mumbai,Mumbai,Maharashtra,November,3,Associate,Full-time,"General Business, Analyst, and Finance","IT Services and IT Consulting, Financial Services, and Management Consulting"
Associate - Data Analyst,Myntra,Bengaluru,Bengaluru,Karnataka,November,28,Associate,Full-time,Information Technology,"Marketing and Advertising, Computer Software, and Internet Publishing"
Data Analyst,IBM,Bengaluru,Bengaluru,Karnataka,November,4,Not Applicable,Full-time,Information Technology,Computer Hardware Manufacturing
Junior Data Analyst,Cargill,Gurgaon,Gurgaon,Haryana,November,2,Associate,Full-time,Information Technology,"Food and Beverage Services, Chemicals, and Food and Beverage Manufacturing"
Data Analyst,Myntra,Bengaluru,Bengaluru,Karnataka,November,14,Entry level,Full-time,Information Technology,"Marketing and Advertising, Computer Software, and Internet Publishing"
Data Analyst,Whril: Cryptoasset Custody Service,Bengaluru,Bengaluru,Karnataka,Not mentioned,0,Full-time,Not mentioned,Not mentioned,Not mentioned
Junior Data Analyst,Cargill,Bengaluru,Bengaluru,Karnataka,November,2,Associate,Full-time,Information Technology,"Food and Beverage Services, Chemicals, and Food and Beverage Manufacturing"
Data Analyst (New Grad) - India UHR,Cisco,Bengaluru,Bengaluru,Karnataka,November,7,Not Applicable,Full-time,Information Technology,"Computer Hardware Manufacturing, Computer Software, and Computer Networking Products"
Data Analyst,Flipkart,Bengaluru,Bengaluru,Karnataka,November,14,Not Applicable,Full-time,Information Technology,Internet Publishing and Manufacturing
Data Analyst - (New Grad) - India UHR,Cisco,Bengaluru,Bengaluru,Karnataka,November,1,Not Applicable,Full-time,Information Technology,"Computer Hardware Manufacturing, Computer Software, and Computer Networking Products"
Data analyst,Amazon,Bengaluru,Bengaluru,Karnataka,November,2,Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology","IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Analyst,Flipkart,Bengaluru,Bengaluru,Karnataka,September,62,Not Applicable,Full-time,Information Technology,Internet Publishing and Manufacturing
Data Analyst,Myntra,Bengaluru,Bengaluru,Karnataka,October,31,Entry level,Full-time,Information Technology,"Marketing and Advertising, Computer Software, and Internet Publishing"
Data Analyst,Flipkart,Bengaluru,Bengaluru,Karnataka,October,31,Not Applicable,Full-time,Information Technology,Internet Publishing and Manufacturing
Data Analyst,Myntra,Bengaluru,Bengaluru,Karnataka,September,62,Entry level,Full-time,Information Technology,"Marketing and Advertising, Computer Software, and Internet Publishing"
Data Analyst,Unacademy,Bengaluru,Bengaluru,Karnataka,November,28,Associate,Full-time,Analyst,"Marketing and Advertising, Computer Software, and Internet Publishing"
Data Analyst,Myntra,Bengaluru,Bengaluru,Karnataka,September,62,Entry level,Full-time,Information Technology,"Marketing and Advertising, Computer Software, and Internet Publishing"
Data Analyst,Flipkart,Bengaluru,Bengaluru,Karnataka,September,62,Not Applicable,Full-time,Information Technology,Internet Publishing and Manufacturing
Data Analyst,Flipkart,Bengaluru,Bengaluru,Karnataka,October,31,Not Applicable,Full-time,Information Technology,Internet Publishing and Manufacturing
Data analyst,Amazon,Bengaluru,Bengaluru,Karnataka,November,14,Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology","IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Analyst,Myntra,Bengaluru,Bengaluru,Karnataka,October,31,Entry level,Full-time,Information Technology,"Marketing and Advertising, Computer Software, and Internet Publishing"
Data Analyst,Edusera,Bangalore Urban,Bengaluru,Karnataka,November,1,Full-time,Not mentioned,Not mentioned,Not mentioned
Data Analyst,Flipkart,Bengaluru,Bengaluru,Karnataka,November,7,Not Applicable,Full-time,Information Technology,Internet Publishing and Manufacturing
Junior Data Analyst,Cargill,Gurgaon,Gurgaon,Haryana,November,4,Associate,Full-time,Information Technology,"Food and Beverage Services, Chemicals, and Food and Beverage Manufacturing"
Data Analyst,Amazon,Bengaluru,Bengaluru,Karnataka,November,2,Not Applicable,Full-time,Business Development and Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Analyst-GTO-Hyderabad,Deloitte,Hyderabad,Hyderabad,Telangana,September,62,Entry level,Full-time,Information Technology,"Financial Services, Management Consulting, and Accounting"
Rupeek - Data Analyst,Rupeek,Bengaluru,Bengaluru,Karnataka,November,14,Entry level,Full-time,Information Technology,Internet Publishing
"Data Analyst I, Tech",Uber,Hyderabad,Hyderabad,Telangana,November,14,Not Applicable,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Consumer Services"
Data Analyst,GeeksGod,Bangalore Urban,Bengaluru,Karnataka,November,3,Full-time,Not mentioned,Not mentioned,Not mentioned
Data Analyst,Vedantu,Chandigarh,Chandigarh,Chandigarh,November,5,Mid-Senior level,Full-time,Management and Education,E-Learning Providers
Data Analyst,ShopUp,Bengaluru,Bengaluru,Karnataka,Not mentioned,0,Mid-Senior level,Full-time,Information Technology,"Computer Software, Internet Publishing, and Financial Services"
Data Analyst,Experian,Mumbai,Mumbai,Maharashtra,November,28,Mid-Senior level,Full-time,Quality Assurance,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Analyst,Times Internet,Noida,Noida,Uttar Pradesh,November,5,Mid-Senior level,Full-time,Information Technology,Internet Publishing
Data Analyst,Amazon,Bengaluru,Bengaluru,Karnataka,November,3,Not Applicable,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Analyst,HP,Gurgaon,Gurgaon,Haryana,November,28,Not Applicable,Full-time,Information Technology,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Computer Software"
Data Analyst,LeadSquared,Bangalore Urban,Bengaluru,Karnataka,November,6,Associate,Full-time,Information Technology,Computer Software
Data Analyst,Barclays,Pune,Pune,Maharashtra,November,14,Associate,Full-time,Information Technology,Banking and Financial Services
Data Review Analyst,Deloitte,Mumbai,Mumbai,Maharashtra,November,28,Entry level,Full-time,Information Technology,"Financial Services, Management Consulting, and Accounting"
Data Analyst 1,Optum,Bengaluru,Bengaluru,Karnataka,November,4,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Hospitals and Health Care"
Data Analyst,PayU,Bengaluru,Bengaluru,Karnataka,November,2,Entry level,Full-time,Information Technology,Financial Services
Data Analyst 2,Epsilon India,Bangalore Urban,Bengaluru,Karnataka,November,4,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Marketing and Advertising, and Computer Software"
Associate Data Analyst,Eaton,Pune,Pune,Maharashtra,November,14,Associate,Full-time,Marketing and Product Management,"Appliances, Electrical, and Electronics Manufacturing, Aviation and Aerospace Component Manufacturing, and Motor Vehicle Manufacturing"
Data Analyst,Hotstar,Mumbai,Mumbai,Maharashtra,November,14,Associate,Full-time,Analyst,Internet Publishing
Data Analyst,Amazon,Bengaluru,Bengaluru,Karnataka,November,14,Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology","IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Analyst,MFine,Bengaluru,Bengaluru,Karnataka,November,1,Mid-Senior level,Full-time,"Information Technology, Analyst, and Strategy/Planning","IT Services and IT Consulting, Internet Publishing, and Hospitals and Health Care"
Data Analyst,Experian,Mumbai,Mumbai,Maharashtra,September,62,Mid-Senior level,Full-time,Quality Assurance,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Analyst C10,Citi,Bengaluru,Bengaluru,Karnataka,November,28,Not Applicable,Full-time,Information Technology,"Banking, Financial Services, and Investment Banking"
Data Analyst,Jio,Mumbai,Mumbai,Maharashtra,November,4,Mid-Senior level,Full-time,Information Technology and Engineering,IT Services and IT Consulting and Information Services
Data Analyst - Opportunity for Working Remotely,VMware,Pune,Pune,Maharashtra,November,4,Not Applicable,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Analyst - Opportunity for Working Remotely,VMware,Bengaluru,Bengaluru,Karnataka,November,4,Not Applicable,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Associate Data Analyst - UNSPSC,SAP,Bengaluru,Bengaluru,Karnataka,November,2,Not Applicable,Full-time,Customer Service,"IT Services and IT Consulting, Computer Software, and Management Consulting"
MIS - Data Analyst 1,EY,Bengaluru,Bengaluru,Karnataka,November,14,Associate,Full-time,Information Technology,Accounting
Data Analysts,KUDOSiNDiA,Mumbai,Mumbai,Maharashtra,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Analyst,slice,Bengaluru,Bengaluru,Karnataka,November,3,Mid-Senior level,Full-time,Information Technology and Analyst,Financial Services
Data Analyst 3,Acko,Bengaluru,Bengaluru,Karnataka,November,6,Associate,Full-time,Analyst,Insurance
Data Analyst,Bright Money,Bengaluru,Bengaluru,Karnataka,November,7,Entry level,Full-time,Information Technology,"Computer Software, Internet Publishing, and Financial Services"
Data Analyst,FamPay,Bengaluru,Bengaluru,Karnataka,September,62,Entry level,Full-time,Information Technology,"Computer Software, Internet Publishing, and Financial Services"
Associate Data Analyst,Eaton,Pune,Pune,Maharashtra,November,14,Associate,Full-time,Marketing and Product Management,"Appliances, Electrical, and Electronics Manufacturing, Aviation and Aerospace Component Manufacturing, and Motor Vehicle Manufacturing"
Data Analysts,Prometheus Consulting Inc.,Bengaluru,Bengaluru,Karnataka,September,62,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Staffing and Recruiting, and Management Consulting"
Consultant - Data Analyst,Flipkart,Bengaluru,Bengaluru,Karnataka,September,62,Not Applicable,Full-time,Information Technology,Internet Publishing and Manufacturing
Growth Data Analyst,noon,Gurugram,Gurugram,Haryana,November,4,Mid-Senior level,Full-time,Engineering and Information Technology,Retail
Jr. Data Analyst,Sciative Solutions - We Price Right,Navi Mumbai,Navi Mumbai,Maharashtra,October,31,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Management Consulting"
Analyst-Data Analysis,Tesco,Bengaluru,Bengaluru,Karnataka,November,14,Not Applicable,Full-time,Other,Retail
Data Analyst,ElevateHQ,Bengaluru,Bengaluru,Karnataka,November,2,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Associate 3 Data Analysis,UST,Bangalore Urban,Bengaluru,Karnataka,November,2,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data Analyst 1,Optum,Bengaluru,Bengaluru,Karnataka,November,28,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Hospitals and Health Care"
Data Analyst 2,PayPal,Bengaluru North,Bengaluru,Karnataka,November,4,Not Applicable,Full-time,Information Technology,"Computer Software, Internet Publishing, and Financial Services"
Data Analyst,Trainman,Gurugram,Gurugram,Haryana,November,2,Full-time,Not mentioned,Not mentioned,Not mentioned
Junior Data Analyst,Cadila Pharmaceuticals Limited,Ahmedabad,Ahmedabad,Gujarat,October,31,Associate,Full-time,Information Technology,"Market Research, Management Consulting, and Hospitals and Health Care"
Data Analyst,Fleek,Bangalore Urban,Bengaluru,Karnataka,November,7,Full-time,Not mentioned,Not mentioned,Not mentioned
Data Analyst,Ameyo,Gurgaon,Gurgaon,Haryana,November,3,Associate,Full-time,Information Technology,Computer Software
MIS - Data Analyst 1,EY,Bengaluru,Bengaluru,Karnataka,November,21,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Analyst (Remote),edamama,Delhi,Delhi,Delhi,November,3,Associate,Full-time,Other,Internet Publishing
Data Analyst,Shemaroo Entertainment Ltd.,Mumbai,Mumbai,Maharashtra,November,4,Mid-Senior level,Full-time,Information Technology and Analyst,Broadcast Media Production and Distribution and Entertainment
Data Analyst,Eaton,Pune,Pune,Maharashtra,November,5,Entry level,Full-time,Marketing and Product Management,"Appliances, Electrical, and Electronics Manufacturing, Aviation and Aerospace Component Manufacturing, and Motor Vehicle Manufacturing"
Data Analyst,Soma Creatives,Ghaziabad,Ghaziabad,Uttar Pradesh,November,28,Full-time,Not mentioned,Not mentioned,Not mentioned
Senior Data Analyst,Uber,Hyderabad,Hyderabad,Telangana,Not mentioned,0,Not Applicable,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Consumer Services"
Data Analyst,EXL,Gurugram,Gurugram,Haryana,November,5,Mid-Senior level,Full-time,"Information Technology, Other, and Analyst","IT Services and IT Consulting, Information Services, and Banking"
Data Analyst,Toppr,Hyderabad,Hyderabad,Telangana,September,62,Associate,Full-time,Analyst,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Jr. Data Analyst - R/ Python/ Power BI,Cacti Global,Mumbai,Mumbai,Maharashtra,November,2,Associate,Full-time,Information Technology,Management Consulting
Data Analyst,ShareChat,Bengaluru,Bengaluru,Karnataka,November,5,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Analyst,PlaySimple Games,Bengaluru North,Bengaluru,Karnataka,November,14,Associate,Full-time,Information Technology,Entertainment
Data management- Analyst,Deloitte,Hyderabad,Hyderabad,Telangana,October,31,Associate,Full-time,Information Technology,"Financial Services, Management Consulting, and Accounting"
Data Analyst,Blue Bridge Logistics,Hyderabad,Hyderabad,Telangana,November,4,Full-time,Not mentioned,Not mentioned,Not mentioned
Jr. Data Analyst (ESG) (Freshers welcome to apply),ISS ESG,Mumbai,Mumbai,Maharashtra,November,3,Associate,Full-time,"General Business, Analyst, and Finance","IT Services and IT Consulting, Research Services, and Financial Services"
Data Analyst,Honeywell,Bengaluru,Bengaluru,Karnataka,November,28,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Junior Data Analyst,Convosight,Delhi,Delhi,Delhi,November,14,Associate,Full-time,Information Technology,Internet Publishing
Data Analyst,Moody's Corporation,Gurgaon,Gurgaon,Haryana,November,28,Not Applicable,Full-time,Information Technology,Financial Services
Data Analyst - People Analytics and Insights,Citi,Mumbai,Mumbai,Maharashtra,October,31,Not Applicable,Full-time,Information Technology,"Banking, Financial Services, and Investment Banking"
Data Analyst,LeadSquared,Bengaluru,Bengaluru,Karnataka,November,21,Entry level,Full-time,Information Technology,Computer Software
Work India - Data Analyst,WorkIndia,Bengaluru,Bengaluru,Karnataka,November,28,Entry level,Full-time,Information Technology,Computer Networking Products
Data Analyst - I/II,Philips,Bengaluru,Bengaluru,Karnataka,November,28,Not Applicable,Full-time,Information Technology,Hospitals and Health Care
Data Analyst,KENGRID,Vijayawada,Vijayawada,Andhra Pradesh,November,7,Full-time,Not mentioned,Not mentioned,Not mentioned
Data Analyst,MediaMath,Bengaluru,Bengaluru,Karnataka,November,28,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Marketing and Advertising, and Computer Software"
Data Analyst,Vahak,Bengaluru,Bengaluru,Karnataka,November,7,Full-time,Not mentioned,Not mentioned,Not mentioned
"Data Analyst II, Tech",Uber,Hyderabad,Hyderabad,Telangana,November,1,Not Applicable,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Consumer Services"
Data Analyst,Yulu,Bengaluru North,Bengaluru,Karnataka,November,28,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Analyst,Fashinza,Gurugram,Gurugram,Haryana,November,7,Full-time,Not mentioned,Not mentioned,Not mentioned
Data Analyst,Siemens Gamesa,Bengaluru,Bengaluru,Karnataka,November,5,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Renewable Energy Semiconductor Manufacturing, and Oil and Gas"
Data Analyst,Edunuts,New Delhi,New Delhi,Delhi,October,31,Entry level,Full-time,Information Technology,"Marketing and Advertising, Online Media, and Internet Publishing"
Data Analyst,KredX,Bengaluru,Bengaluru,Karnataka,November,14,Executive,Full-time,Information Technology,"Computer Software, Internet Publishing, and Financial Services"
Data Analyst/AM-Payment System Intelligence,Quess IT Staffing,Bangalore Urban,Bengaluru,Karnataka,November,3,Full-time,Not mentioned,Not mentioned,Not mentioned
"Data Analyst , Bangalore",Nielsen,Mumbai,Mumbai,Maharashtra,November,3,Not Applicable,Full-time,Information Technology,Market Research and Management Consulting
Data Analyst,Applicantz,Bangalore Urban,Bengaluru,Karnataka,November,2,Associate,Contract,Analyst,Information Services
Data Analyst,Fisdom,Bengaluru,Bengaluru,Karnataka,November,6,Mid-Senior level,Full-time,Information Technology,Financial Services
Associate Data Analyst,Draup,Chennai,Chennai,Tamil Nadu,October,31,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Management Consulting"
Data Analyst,Credgenics,Okhla,Okhla,Delhi,November,14,Entry level,Full-time,Information Technology and Analyst,"IT Services and IT Consulting, Computer Software, and Financial Services"
Mindshare | Data Analyst,Mindshare,Bengaluru,Bengaluru,Karnataka,October,31,Entry level,Full-time,Information Technology,"Marketing and Advertising, IT Services and IT Consulting, and Internet Publishing"
Data Analyst,Vymo,Bengaluru,Bengaluru,Karnataka,November,3,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology","IT Services and IT Consulting, Computer Software, and Financial Services"
Data Analyst,Signeasy,Bengaluru,Bengaluru,Karnataka,November,4,Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
Data Analyst,Honeywell,Bengaluru,Bengaluru,Karnataka,November,14,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Analyst,PlaySimple Games,Bengaluru,Bengaluru,Karnataka,November,14,Entry level,Full-time,Information Technology,Entertainment
Data Analyst,Boston Consulting Group (BCG),Gurugram,Gurugram,Haryana,November,21,Mid-Senior level,Full-time,Analyst,"Leasing Non-residential Real Estate, Financial Services, and Leasing Real Estate"
Data Analyst (6 months - 2 yrs),GlowRoad.com,Bengaluru,Bengaluru,Karnataka,November,28,Associate,Full-time,Information Technology,Internet Publishing
Data Analyst,Rayden Interactive,Pune,Pune,Maharashtra,November,4,Associate,Full-time,Information Technology,IT Services and IT Consulting
Data Analyst,Capgemini,Bengaluru,Bengaluru,Karnataka,September,62,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Analyst - Marketing (Contract role),Razorpay,Bengaluru,Bengaluru,Karnataka,November,7,Entry level,Full-time,Marketing and Analyst,Computer Software
Data Analyst (BI) I/II,Philips,Bengaluru,Bengaluru,Karnataka,November,6,Not Applicable,Full-time,Information Technology,Hospitals and Health Care
Data Analyst,Protium,Bangalore Urban,Bengaluru,Karnataka,November,21,Associate,Full-time,Information Technology and Analyst,Financial Services
Data Analyst 2,PayPal,Chennai,Chennai,Tamil Nadu,November,4,Not Applicable,Full-time,Information Technology,"Computer Software, Internet Publishing, and Financial Services"
Data Analyst,"GE Appliances, a Haier company",Hyderabad,Hyderabad,Telangana,November,28,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Construction, and Manufacturing"
Data Science Analyst (New Grad) - India UHR,Cisco,Bengaluru,Bengaluru,Karnataka,November,5,Not Applicable,Full-time,Other,"Computer Hardware Manufacturing, Computer Software, and Computer Networking Products"
Talent Data and Analytics Coordinator -Analyst,Deloitte,Hyderabad,Hyderabad,Telangana,November,28,Entry level,Full-time,Business Development and Sales,"Financial Services, Management Consulting, and Accounting"
MPL - Data Analyst,MPL,Bengaluru,Bengaluru,Karnataka,November,2,Entry level,Full-time,Information Technology,Internet Publishing
Analyst- Data Specialist,Deloitte,Hyderabad,Hyderabad,Telangana,September,62,Entry level,Full-time,Information Technology,"Financial Services, Management Consulting, and Accounting"
Data Analyst (Remote),Nivoda,Mumbai,Mumbai,Maharashtra,October,31,Entry level,Full-time,Engineering,IT Services and IT Consulting
Data Analyst,Julahaa Sarees,Surat,Surat,Gujarat,November,4,Full-time,Not mentioned,Not mentioned,Not mentioned
Data Analyst,Simplify360,Bengaluru North,Bengaluru,Karnataka,November,4,Executive,Full-time,Information Technology,IT Services and IT Consulting
Data Analyst,Ula,Bengaluru,Bengaluru,Karnataka,November,14,Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Data Analyst,Simplify360,Bengaluru,Bengaluru,Karnataka,November,4,Entry level,Full-time,Information Technology,"Computer Software, Human Resources, and Financial Services"
Data Analyst 2,Epsilon India,Bangalore Urban,Bengaluru,Karnataka,November,4,Associate,Full-time,Information Technology,"IT Services and IT Consulting, Marketing and Advertising, and Computer Software"
"Data Analyst , Vadodara",Nielsen,Vadodara,Vadodara,Gujarat,November,3,Not Applicable,Full-time,Information Technology,Market Research and Management Consulting
Analyst - Data Analytics,Saarthee,Gurgaon,Gurgaon,Haryana,November,28,Entry level,Full-time,Business Development and Sales,Management Consulting
Data Analyst,Yara International,Bangalore Urban,Bengaluru,Karnataka,November,7,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Farming
Game Data Analyst,Ubisoft,Pune,Pune,Maharashtra,November,6,Mid-Senior level,Full-time,Information Technology,"IT Services and IT Consulting, Internet Publishing, and Staffing and Recruiting"
Item Data Analyst,Target,Bengaluru,Bengaluru,Karnataka,October,31,Entry level,Full-time,Information Technology,Retail
Channel Data & Incentives operations analyst,HP,Bengaluru,Bengaluru,Karnataka,November,1,Not Applicable,Full-time,Management and Manufacturing,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Computer Software"
Data Analyst,Toppr,Mumbai,Mumbai,Maharashtra,November,28,Associate,Full-time,Marketing,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Analyst,MobiKwik,Gurgaon,Gurgaon,Haryana,November,21,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Insights Data analyst,Tide,Hyderabad,Hyderabad,Telangana,November,5,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Analyst,Siemens Technology India,Bengaluru,Bengaluru,Karnataka,November,21,Mid-Senior level,Full-time,Customer Service,"Appliances, Electrical, and Electronics Manufacturing"
Data Analyst,SecureCurve,Jaipur,Jaipur,Rajasthan,November,7,Full-time,Not mentioned,Not mentioned,Not mentioned
GIA Data Analyst,Swiss Re,Bengaluru,Bengaluru,Karnataka,November,28,Not Applicable,Full-time,Information Technology,"IT Services and IT Consulting, Insurance, and Financial Services"
Data Analyst,Newton School,Bengaluru,Bengaluru,Karnataka,November,28,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Internet Publishing, and Staffing and Recruiting"
Data Analyst,DayToDay Health,Bengaluru,Bengaluru,Karnataka,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Hospitals and Health Care"
Data Analyst,healthi.in,Bengaluru,Bengaluru,Karnataka,October,31,Entry level,Full-time,Information Technology,IT Services and IT Consulting and Internet Publishing
Data Analyst,iNeuron.ai,Bengaluru,Bengaluru,Karnataka,September,62,Full-time,Not mentioned,Not mentioned,Not mentioned
Data Analyst,"Envestnet, Inc",Trivandrum,Trivandrum,Kerala,November,4,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Analyst,MX Player,Mumbai,Mumbai,Maharashtra,October,31,Associate,Full-time,Information Technology,"Online Media, Computer Software, and Internet Publishing"
Data Analyst,ValueLabs,Hyderabad,Hyderabad,Telangana,November,21,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Data Platform Analyst,PayPal,Bengaluru,Bengaluru,Karnataka,November,4,Not Applicable,Full-time,Information Technology,"Computer Software, Internet Publishing, and Financial Services"
Data Analyst,Cimpress,Bengaluru,Bengaluru,Karnataka,November,7,Mid-Senior level,Full-time,Analyst,Internet Publishing
Data Analyst,Dozee,Bangalore Urban,Bengaluru,Karnataka,November,21,Associate,Full-time,"Information Technology, Health Care Provider, and Analyst","IT Services and IT Consulting, Medical Equipment, and Hospitals and Health Care"
Data Analyst,Pradhan Industries,Bhubaneswar,Bhubaneswar,Orissa,November,5,Full-time,Not mentioned,Not mentioned,Not mentioned
Assistant Data Analyst / E-Commerce Assistant,join.com,Delhi,Delhi,Delhi,November,2,Associate,Contract,Product Management,Apparel and Fashion
Data Analyst,"Ameriprise Financial Services, LLC",Gurugram,Gurugram,Haryana,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Analyst,Lokyata,Not mentioned,Not mentioned,Not mentioned,October,31,Full-time,Not mentioned,Not mentioned,Not mentioned
Data Analyst,Criteo,Gurgaon,Gurgaon,Haryana,September,62,Not Applicable,Full-time,Information Technology,"Marketing and Advertising, Online Media, and Internet Publishing"
Data Analyst,Marico Limited,Mumbai,Mumbai,Maharashtra,November,28,Executive,Full-time,Information Technology,"Food and Beverage Services, Manufacturing, and Pharmaceutical Manufacturing"
Data Analyst,"Ameriprise Financial Services, LLC",Noida,Noida,Uttar Pradesh,November,28,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Analyst,Siemens Technology India,Bengaluru,Bengaluru,Karnataka,November,7,Mid-Senior level,Full-time,Customer Service,"Appliances, Electrical, and Electronics Manufacturing"
Data Analyst,Freshtohome.com,Bengaluru,Bengaluru,Karnataka,November,28,Entry level,Full-time,Information Technology,Food and Beverage Services and Food and Beverage Manufacturing
Zupee - Data Analyst,Zupee,Gurugram,Gurugram,Haryana,November,2,Entry level,Full-time,Information Technology,Education Administration Programs
Data Analyst,Honeywell,Bengaluru,Bengaluru,Karnataka,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Financial Services"
Data Analyst - K12 Business,Unacademy,Bengaluru,Bengaluru,Karnataka,November,4,Associate,Full-time,Analyst,"Marketing and Advertising, Computer Software, and Internet Publishing"
Data Analyst,Klub,Bengaluru,Bengaluru,Karnataka,November,14,Entry level,Full-time,Information Technology,Financial Services
Data Analyst,NDTV Convergence Limited,New Delhi,New Delhi,Delhi,November,14,Mid-Senior level,Full-time,"Information Technology, Analyst, and Consulting",IT Services and IT Consulting
Data Analyst,HEXANIKA,Pune,Pune,Maharashtra,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Banking"
Data Analyst III - University - India FY22,Uber,Hyderabad,Hyderabad,Telangana,November,21,Not Applicable,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Consumer Services"
Data/Information Mgt Analyst,Citi,Pune,Pune,Maharashtra,November,28,Not Applicable,Full-time,Information Technology,"Banking, Financial Services, and Investment Banking"
Data Analyst,Twin Health,Bengaluru,Bengaluru,Karnataka,October,31,Entry level,Full-time,Information Technology,Wellness and Fitness Services
Data Analyst - Python/SQL,SuperSeva Services Pvt Ltd,Bengaluru,Bengaluru,Karnataka,October,31,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Computer Software, and Internet Publishing"
Data Research Analyst,Morningstar,Navi Mumbai,Navi Mumbai,Maharashtra,November,14,Internship,Full-time,"Research, Analyst, and Information Technology",Financial Services
Data Analyst,Mojocare,Bengaluru,Bengaluru,Karnataka,October,31,Entry level,Full-time,Information Technology,Wellness and Fitness Services
Staff Data Analyst (MINT),Walmart Global Tech India,Bengaluru,Bengaluru,Karnataka,November,14,Associate,Full-time,Information Technology,"Computer Software, Computer and Network Security, and Retail"
Data Analyst,AGRAWAL ROADLINES PVT LTD,Jamnagar,Jamnagar,Gujarat,Not mentioned,0,Full-time,Not mentioned,Not mentioned,Not mentioned
Data Analyst,Boston Consulting Group (BCG),Delhi,Delhi,Delhi,September,62,Entry level,Full-time,Information Technology,"Marketing and Advertising, Staffing and Recruiting, and Management Consulting"
